date_received,product,subproduct,issue,subissue,company_public_response,company_name,state,zip_code,tags,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,state_name,zip_code_population,state_population,median_income_zip_code,median_income_state
2/12/2022,Mortgage,FHA mortgage,Incorrect information on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,IL,62539,Servicemember,Web,2/12/2022,Closed with explanation,TRUE,5215852,Illinois,1297,12821497,68563,63575
5/19/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,IL,60653,,Web,5/19/2022,Closed with explanation,TRUE,5578882,Illinois,31972,12821497,29569,63575
4/1/2022,Mortgage,FHA mortgage,Incorrect information on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MIDFIRST BANK,IL,60451,,Web,4/1/2022,Closed with non-monetary relief,TRUE,5396890,Illinois,34945,12821497,108154,63575
5/17/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,PNC Bank N.A.,CT,60920,,Web,5/17/2022,Closed with explanation,TRUE,5568571,Illinois,199,12821497,44063,63575
1/7/2022,Mortgage,Other type of mortgage,Applying for a mortgage or refinancing an existing mortgage,,,PNC Bank N.A.,IL,60521,,Web,1/21/2022,Closed with explanation,TRUE,5082798,Illinois,18402,12821497,183500,63575
5/5/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,BOK FINANCIAL CORP,IL,60640,,Web,5/5/2022,Closed with explanation,TRUE,5546736,Illinois,69715,12821497,53831,63575
4/20/2022,Mortgage,Other type of mortgage,Struggling to pay mortgage,,,NATIONSTAR MORTGAGE,IL,62450,Older American,Web,5/9/2022,Closed with explanation,TRUE,5474517,Illinois,12230,12821497,44840,63575
2/4/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,NATIONSTAR MORTGAGE,IL,60605,,Web,2/4/2022,Closed with explanation,TRUE,5187007,Illinois,27519,12821497,111164,63575
3/22/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,IL,60449,,Web,3/22/2022,Closed with explanation,TRUE,5351119,Illinois,9400,12821497,74568,63575
1/24/2022,Mortgage,Reverse mortgage,Applying for a mortgage or refinancing an existing mortgage,,,NATIONSTAR MORTGAGE,IL,60050,,Referral,2/5/2022,Closed with explanation,TRUE,5190470,Illinois,32732,12821497,70289,63575
5/22/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,Selene Holdings LLC,IL,60628,Older American,Web,5/22/2022,Closed with explanation,TRUE,5587772,Illinois,66724,12821497,40261,63575
2/9/2022,Mortgage,Conventional home mortgage,Incorrect information on your report,,,ALLIANT CREDIT UNION,IL,60653,,Web,2/9/2022,Closed with explanation,TRUE,5202210,Illinois,31972,12821497,29569,63575
4/27/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,,GUARANTEED RATE INC.,IL,60653,,Web,4/27/2022,Closed with explanation,TRUE,5506869,Illinois,31972,12821497,29569,63575
4/6/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,GUARANTEED RATE INC.,IL,60540,,Web,4/6/2022,Closed with explanation,TRUE,5412952,Illinois,45112,12821497,118451,63575
1/19/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,,JPMORGAN CHASE & CO.,IL,60120,,Web,1/19/2022,Closed with explanation,TRUE,5123545,Illinois,50922,12821497,57843,63575
5/14/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,JPMORGAN CHASE & CO.,IL,60126,,Web,5/14/2022,Closed with monetary relief,TRUE,5561521,Illinois,48410,12821497,111420,63575
1/25/2022,Mortgage,FHA mortgage,Trouble during payment process,,,"PARKSIDE LENDING, LLC",IL,60538,,Web,1/25/2022,Closed with non-monetary relief,TRUE,5148484,Illinois,28451,12821497,78193,63575
3/24/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60563,,Phone,3/24/2022,Closed with explanation,TRUE,5362316,Illinois,37409,12821497,89305,63575
4/19/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60586,,Phone,4/19/2022,Closed with non-monetary relief,TRUE,5467734,Illinois,47692,12821497,104785,63575
4/15/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60622,Older American,Web,4/15/2022,Closed with explanation,TRUE,5451858,Illinois,52793,12821497,93988,63575
5/26/2022,Mortgage,Other type of mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60653,,Web,5/26/2022,Closed with explanation,TRUE,5605264,Illinois,31972,12821497,29569,63575
3/30/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60411,,Web,3/30/2022,Closed with explanation,TRUE,5385822,Illinois,57800,12821497,46771,63575
2/2/2022,Mortgage,FHA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60013,,Web,2/2/2022,Closed with non-monetary relief,TRUE,5178589,Illinois,25827,12821497,98377,63575
6/14/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company believes it acted appropriately as authorized by contract or law,"BROKER SOLUTIONS, INC.",CT,60420,Older American,Phone,6/14/2022,Closed with explanation,TRUE,5667254,Illinois,4812,12821497,62669,63575
1/19/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company believes it acted appropriately as authorized by contract or law,"BROKER SOLUTIONS, INC.",IL,62656,,Web,1/19/2022,Closed with explanation,TRUE,5127275,Illinois,19535,12821497,54834,63575
3/31/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"LD Holdings Group, LLC",IL,60803,,Phone,3/31/2022,Closed with explanation,TRUE,5389563,Illinois,22390,12821497,56239,63575
2/9/2022,Mortgage,VA mortgage,Trouble during payment process,,,"LD Holdings Group, LLC",IL,60148,Servicemember,Web,2/9/2022,Closed with explanation,TRUE,5200427,Illinois,52963,12821497,81504,63575
5/4/2022,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,,,MidAmerica Mortgage Inc,IL,60431,,Web,5/21/2022,Closed with explanation,FALSE,5538109,Illinois,23219,12821497,91333,63575
3/3/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",IL,60637,,Postal mail,3/3/2022,Closed with explanation,TRUE,5283257,Illinois,47454,12821497,28785,63575
5/27/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CT,60660,,Web,5/27/2022,Closed with explanation,TRUE,5608771,Illinois,43242,12821497,49241,63575
2/9/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",IL,60426,Older American,Web,2/9/2022,Closed with explanation,TRUE,5204103,Illinois,28924,12821497,30015,63575
3/7/2022,Mortgage,Other type of mortgage,Trouble during payment process,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",IL,60638,Older American,Web,3/23/2022,Closed with explanation,TRUE,5294836,Illinois,58797,12821497,67984,63575
5/25/2022,Mortgage,FHA mortgage,Trouble during payment process,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CT,60660,,Web,5/25/2022,Closed with explanation,TRUE,5601692,Illinois,43242,12821497,49241,63575
3/17/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company believes the complaint provided an opportunity to answer consumer's questions,"Shellpoint Partners, LLC",IL,60647,,Web,3/17/2022,Closed with explanation,TRUE,5334999,Illinois,87509,12821497,73443,63575
2/14/2022,Mortgage,Conventional home mortgage,Problem with a credit reporting company's investigation into an existing problem,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",IL,60506,,Web,2/14/2022,Closed with explanation,TRUE,5221310,Illinois,54216,12821497,61231,63575
6/5/2022,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,,,CrossCountry Mortgage LLC,IL,60624,,Web,6/5/2022,Closed with explanation,TRUE,5634907,Illinois,36158,12821497,22992,63575
3/28/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"Dovenmuehle Mortgage, Inc.",IL,60126,Older American,Web,3/28/2022,Closed with explanation,FALSE,5377348,Illinois,48410,12821497,111420,63575
3/25/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Ocwen Financial Corporation,IL,60435,Servicemember,Phone,3/25/2022,Closed with explanation,TRUE,5367911,Illinois,49863,12821497,54372,63575
6/28/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Ocwen Financial Corporation,IL,60192,,Web,6/28/2022,Closed with explanation,TRUE,5719744,Illinois,15650,12821497,119013,63575
4/19/2022,Mortgage,FHA mortgage,Trouble during payment process,,,Ocwen Financial Corporation,IL,60425,,Web,4/20/2022,Closed with explanation,TRUE,5468310,Illinois,8912,12821497,63444,63575
1/19/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"NATIONS DIRECT MORTGAGE, LLC",IL,60477,,Web,1/19/2022,Closed with explanation,TRUE,5126566,Illinois,37919,12821497,65590,63575
1/10/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"HUNTINGTON NATIONAL BANK, THE",IL,60655,,Referral,1/10/2022,Closed with explanation,TRUE,5090962,Illinois,28804,12821497,97572,63575
5/26/2022,Mortgage,VA mortgage,Closing on a mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Mortgage Research Center, LLC",IL,61032,Servicemember,Web,5/26/2022,Closed with explanation,TRUE,5606707,Illinois,29896,12821497,42829,63575
6/23/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"AmeriHome Mortgage Company, LLC",IL,60035,,Web,6/23/2022,Closed with explanation,TRUE,5702181,Illinois,29734,12821497,147973,63575
5/30/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",IL,60305,,Web,5/30/2022,Closed with explanation,TRUE,5614983,Illinois,11064,12821497,121908,63575
2/3/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",IL,60491,Servicemember,Web,2/3/2022,Closed with explanation,TRUE,5181514,Illinois,22961,12821497,103058,63575
4/28/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,FIFTH THIRD FINANCIAL CORPORATION,IL,60467,,Phone,4/28/2022,Closed with non-monetary relief,TRUE,5510890,Illinois,26628,12821497,98358,63575
6/13/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,MUFG AMERICAS HOLDINGS CORPORATION,IL,61604,,Web,6/13/2022,Closed with explanation,TRUE,5665135,Illinois,30582,12821497,46813,63575
5/9/2022,Mortgage,Conventional home mortgage,Incorrect information on your report,,,"WEBSTER BANK, NATIONAL ASSOCIATION",CT,61270,,Web Referral,5/12/2022,Closed with explanation,TRUE,5553612,Illinois,7007,12821497,57250,63575
1/13/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BMO HARRIS BANK NATIONAL ASSOCIATION,IL,60601,,Web,1/13/2022,Closed with explanation,TRUE,5106992,Illinois,14675,12821497,103243,63575
5/26/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,61822,,Web,5/26/2022,Closed with explanation,TRUE,5604912,Illinois,25829,12821497,85231,63575
1/26/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing Holdings LLC,IL,60516,Older American,Web,1/26/2022,Closed with explanation,TRUE,5153689,Illinois,29268,12821497,88474,63575
2/4/2022,Mortgage,FHA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing Holdings LLC,IL,60641,Older American,Phone,2/4/2022,Closed with explanation,TRUE,5185407,Illinois,71023,12821497,60073,63575
2/23/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",IL,60619,,Phone,2/23/2022,Closed with explanation,TRUE,5253024,Illinois,61258,12821497,33454,63575
4/21/2022,Mortgage,FHA mortgage,Trouble during payment process,,,"Community Loan Servicing, LLC (formerly known as Bayview Loan Servicing, LLC)",IL,60510,,Web,4/21/2022,Closed with explanation,TRUE,5478156,Illinois,29533,12821497,95026,63575
5/18/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,IL,60443,,Web,5/18/2022,Closed with explanation,TRUE,5572058,Illinois,21554,12821497,73544,63575
3/22/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,IL,62269,Servicemember,Web,3/22/2022,Closed with explanation,TRUE,5355154,Illinois,32029,12821497,87269,63575
3/8/2022,Mortgage,FHA mortgage,Problem with a credit reporting company's investigation into an existing problem,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,IL,60060,,Web,3/8/2022,Closed with explanation,TRUE,5297372,Illinois,37208,12821497,93108,63575
5/23/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",IL,60130,,Phone,5/23/2022,Closed with explanation,TRUE,5592544,Illinois,14041,12821497,59361,63575
2/25/2022,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,,PNC Bank N.A.,IL,60565,Older American,Web,2/25/2022,Closed with explanation,TRUE,5259546,Illinois,40773,12821497,129456,63575
1/20/2022,Mortgage,Other type of mortgage,Applying for a mortgage or refinancing an existing mortgage,,,PNC Bank N.A.,CT,60920,,Phone,2/1/2022,Closed with explanation,TRUE,5132452,Illinois,199,12821497,44063,63575
3/30/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SERVICEMAC, LLC",IL,60543,,Referral,3/30/2022,Closed with explanation,TRUE,5387702,Illinois,40027,12821497,101999,63575
4/12/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"PulteGroup, Inc.",IL,60060,,Web,4/12/2022,Closed with explanation,TRUE,5435086,Illinois,37208,12821497,93108,63575
5/31/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"MONEY SOURCE, THE",IL,60402,,Web,5/31/2022,Closed with explanation,TRUE,5618387,Illinois,63554,12821497,60814,63575
5/23/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"FLAGSTAR BANK, FSB",IL,60175,,Postal mail,5/23/2022,Closed with explanation,TRUE,5592584,Illinois,25734,12821497,147625,63575
6/16/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"Fay Servicing, LLC",IL,60175,,Web,6/16/2022,Closed with explanation,TRUE,5676977,Illinois,25734,12821497,147625,63575
1/25/2022,Mortgage,Other type of mortgage,Struggling to pay mortgage,,,"Fay Servicing, LLC",IL,60404,,Web,1/25/2022,Closed with explanation,TRUE,5149259,Illinois,18796,12821497,101911,63575
4/27/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,IL,61241,Older American,Web,4/27/2022,Closed with explanation,TRUE,5506019,Illinois,6827,12821497,64552,63575
2/15/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,IL,60201,,Web,2/15/2022,Closed with explanation,TRUE,5222345,Illinois,42296,12821497,77699,63575
2/7/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,IL,62234,Servicemember,Web,2/23/2022,Closed with explanation,TRUE,5195941,Illinois,32426,12821497,55663,63575
1/19/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,NATIONSTAR MORTGAGE,IL,60429,,Web,1/19/2022,Closed with explanation,TRUE,5123635,Illinois,15387,12821497,51742,63575
2/24/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Selene Holdings LLC,IL,60004,,Web,2/24/2022,Closed with explanation,TRUE,5258867,Illinois,50915,12821497,94096,63575
2/7/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Selene Holdings LLC,IL,60623,Older American,Web,2/7/2022,Closed with explanation,TRUE,5196327,Illinois,85979,12821497,31634,63575
5/20/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,ALLIANT CREDIT UNION,IL,60202,,Web,5/20/2022,Closed with explanation,TRUE,5581502,Illinois,32861,12821497,77931,63575
3/4/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,ASSOCIATED BANC-CORP,IL,60050,Older American,Phone,3/18/2022,Closed with explanation,TRUE,5285497,Illinois,32732,12821497,70289,63575
5/18/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,GUARANTEED RATE INC.,IL,60076,,Web,5/18/2022,Closed with explanation,TRUE,5574258,Illinois,31867,12821497,79795,63575
3/2/2022,Mortgage,Other type of mortgage,Applying for a mortgage or refinancing an existing mortgage,,,GUARANTEED RATE INC.,IL,60642,,Web,3/2/2022,Closed with explanation,TRUE,5277141,Illinois,20201,12821497,101939,63575
4/15/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,JPMORGAN CHASE & CO.,IL,60525,,Web,4/15/2022,Closed with explanation,TRUE,5449704,Illinois,30576,12821497,83859,63575
1/28/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"Rocket Mortgage, LLC",IL,60628,,Web,1/28/2022,Closed with explanation,TRUE,5161623,Illinois,66724,12821497,40261,63575
4/11/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"Better Mortgage, Inc.",IL,60015,,Web,4/11/2022,Closed with explanation,TRUE,5434611,Illinois,27452,12821497,142409,63575
1/29/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60452,,Web,2/13/2022,Closed with explanation,TRUE,5163222,Illinois,28324,12821497,75844,63575
3/7/2022,Mortgage,VA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IL,60162,"Older American, Servicemember",Referral,3/8/2022,Closed with explanation,TRUE,5298629,Illinois,8165,12821497,53728,63575
1/15/2022,Mortgage,Other type of mortgage,Trouble during payment process,,,Veripro Solutions Inc.,IL,61065,,Web,1/15/2022,Closed with explanation,TRUE,5112282,Illinois,10360,12821497,70056,63575
5/27/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"Shellpoint Partners, LLC",CT,60660,,Web,5/27/2022,Closed with explanation,TRUE,5618186,Illinois,43242,12821497,49241,63575
2/14/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",IL,60423,,Web,2/14/2022,Closed with explanation,TRUE,5220612,Illinois,30938,12821497,108295,63575
5/25/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CT,61060,,Web,5/25/2022,Closed with explanation,TRUE,5600741,Illinois,1425,12821497,50893,63575
2/9/2022,Mortgage,FHA mortgage,Incorrect information on your report,,Company believes the complaint provided an opportunity to answer consumer's questions,"Shellpoint Partners, LLC",IL,60014,Servicemember,Web,2/9/2022,Closed with explanation,TRUE,5200574,Illinois,48443,12821497,87256,63575
3/14/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",IL,60619,Older American,Phone,4/15/2022,Closed with monetary relief,TRUE,5320113,Illinois,61258,12821497,33454,63575
6/15/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"Shellpoint Partners, LLC",IL,60419,Older American,Phone,6/15/2022,Closed with explanation,TRUE,5673251,Illinois,22644,12821497,45463,63575
5/31/2022,Mortgage,VA mortgage,Trouble during payment process,,,CrossCountry Mortgage LLC,IL,60440,Servicemember,Web,5/31/2022,Closed with explanation,TRUE,5614551,Illinois,52246,12821497,73813,63575
3/17/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,IL,60047,Servicemember,Web,3/17/2022,Closed with explanation,TRUE,5333724,Illinois,42637,12821497,135146,63575
5/25/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"Dovenmuehle Mortgage, Inc.",IL,60102,,Phone,5/25/2022,Closed with explanation,TRUE,5601026,Illinois,32739,12821497,102698,63575
3/25/2022,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,,"Dovenmuehle Mortgage, Inc.",IL,60451,Older American,Phone,3/25/2022,Closed with explanation,TRUE,5366740,Illinois,34945,12821497,108154,63575
2/27/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"Dovenmuehle Mortgage, Inc.",IL,60067,,Web,2/27/2022,Closed with explanation,TRUE,5266671,Illinois,38177,12821497,97270,63575
2/7/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,Ocwen Financial Corporation,IL,60035,,Phone,3/23/2022,Closed with explanation,TRUE,5196039,Illinois,29734,12821497,147973,63575
2/8/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,Ocwen Financial Corporation,IL,60616,,Web,2/10/2022,Closed with explanation,TRUE,5198027,Illinois,54464,12821497,45997,63575
4/16/2022,Mortgage,Other type of mortgage,Incorrect information on your report,,,"BSI Financial Holdings, Inc.",IL,62238,,Web,4/16/2022,Closed with explanation,TRUE,5455391,Illinois,619,12821497,53523,63575
1/3/2022,Mortgage,FHA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LAKEVIEW LOAN SERVICING, LLC",IL,60073,,Web,1/3/2022,Closed with explanation,TRUE,5064830,Illinois,61706,12821497,72175,63575
5/25/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"HUNTINGTON NATIONAL BANK, THE",IL,60142,,Web,5/25/2022,Closed with explanation,TRUE,5600704,Illinois,28121,12821497,76730,63575
2/23/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"HUNTINGTON NATIONAL BANK, THE",IL,60637,,Referral,2/23/2022,Closed with explanation,TRUE,5253149,Illinois,47454,12821497,28785,63575
6/4/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"MUTUAL OF OMAHA MORTGAGE, LLC",IL,60045,,Web,6/4/2022,Closed with explanation,TRUE,5633435,Illinois,21131,12821497,171913,63575
2/10/2022,Mortgage,VA mortgage,Closing on a mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Mortgage Research Center, LLC",IL,60651,Servicemember,Web,2/11/2022,Closed with explanation,TRUE,5209544,Illinois,63218,12821497,38083,63575
6/14/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"AmeriHome Mortgage Company, LLC",IL,60423,,Web,6/14/2022,Closed with explanation,TRUE,5668696,Illinois,30938,12821497,108295,63575
6/7/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",IL,60174,,Web,6/7/2022,Closed with explanation,TRUE,5640483,Illinois,31405,12821497,84957,63575
5/2/2022,Mortgage,FHA mortgage,Trouble during payment process,,,"CARRINGTON MORTGAGE SERVICES, LLC",IL,60466,Servicemember,Web,5/2/2022,Closed with explanation,TRUE,5529754,Illinois,21989,12821497,51324,63575
5/13/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,FIFTH THIRD FINANCIAL CORPORATION,IL,62704,,Web,5/13/2022,Closed with explanation,TRUE,5559164,Illinois,40828,12821497,54764,63575
2/23/2022,Mortgage,FHA mortgage,Incorrect information on your report,,,FIFTH THIRD FINANCIAL CORPORATION,IL,60202,,Web,2/23/2022,Closed with explanation,TRUE,5253619,Illinois,32861,12821497,77931,63575
4/11/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BMO HARRIS BANK NATIONAL ASSOCIATION,IL,60615,,Phone,4/11/2022,Closed with explanation,TRUE,5433036,Illinois,41563,12821497,44111,63575
4/11/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"United Shore Financial Services, LLC",IL,60093,Servicemember,Web,4/27/2022,Closed with explanation,TRUE,5432264,Illinois,19441,12821497,174966,63575
1/15/2022,Mortgage,Home equity loan or line of credit (HELOC),Closing on a mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60108,Older American,Web,1/15/2022,Closed with non-monetary relief,TRUE,5112406,Illinois,22766,12821497,85887,63575
3/7/2022,Mortgage,Home equity loan or line of credit (HELOC),Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60162,"Older American, Servicemember",Referral,3/9/2022,Closed with explanation,TRUE,5299080,Illinois,8165,12821497,53728,63575
5/3/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60478,,Referral,5/3/2022,Closed with explanation,TRUE,5533554,Illinois,17112,12821497,59104,63575
3/14/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60202,Older American,Web,3/14/2022,Closed with explanation,TRUE,5321780,Illinois,32861,12821497,77931,63575
6/1/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,60501,,Web,6/1/2022,Closed with explanation,TRUE,5624008,Illinois,11854,12821497,48793,63575
5/24/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,60660,,Web,6/7/2022,Closed with explanation,TRUE,5595208,Illinois,43242,12821497,49241,63575
1/20/2022,Mortgage,Home equity loan or line of credit (HELOC),Applying for a mortgage or refinancing an existing mortgage,,,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",CT,60920,,Phone,2/1/2022,Closed with explanation,TRUE,5131850,Illinois,199,12821497,44063,63575
